Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-04-14 12:30:00","Lochaber","BM","195748","980","80","40","Aonach an Nid","6.10","180.00","5.00","80","0 - None","0","210","8.00","0","0","2.00","190","15","Low","Low","0","0.00","2","332","0","20","0","1","0","0.00","Stable spring snowpack.",
"2018-04-13 12:12:00","Lochaber","BF","195742","1050","20","20","Climber's Col, Aonach Mor","3.20","120.00","5.00","100","0 - None","0","78","10.00","0","0","2.50","130","15","Low","Low","0","0.00","1","332","0","20","0","2","0","0.00","Generally stable spring snowpack",
"2018-04-12 12:35:00","Lochaber","KM","196742","1030","5","38","Aonach Mor: Coire Dubh S side","2.80","135.00","10.00","5","0 - None","0","190","15.00","0","0","2.20","","0","Low","Low","0","0.00","2","332","0","20","0","2","0","0.00","",
"2018-04-11 12:30:00","Lochaber","BM","194746","1090","80","40","Aonach Mor","3.00","140.00","30.00","100","0 - None","0","190","7.00","0","0","2.50","140","30","Low","Low","0","0.00","2","332","0","20","0","2","0","0.00","",
"2018-04-10 12:35:00","Lochaber","KM","196742","1030","0","38","Aonach Mor: Coire Dubh S side","1.10","60.00","20.00","80","0 - None","0","185","25.00","0","0","-0.10","","0","Moderate","Moderate","0","0.00","2","332","0","20","0","2","0","0.00","",
"2018-04-09 11:40:00","Lochaber","BM","194746","1100","80","35","Aonach Mor","4.20","180.00","10.00","70","0 - None","0","180","18.00","0","0","1.00","180","10","Moderate","Moderate","1024","0.10","2","332","0","20","0","1","0","0.00","Stubborn fail at 19cm.",
"2018-04-08 12:00:00","Lochaber","GM","195732","1200","90","25","Aonach Mor","1.40","250.00","10.00","100","0 - None","0","50","15.00","0","0","1.20","","0","Moderate","Moderate","0","0.00","1","332","0","20","0","2","0","0.00","",
"2018-04-07 12:00:00","Lochaber","GM","192740","1180","100","30","Aonach Mor","1.30","225.00","10.00","100","0 - None","0","0","15.00","0","1","1.00","","0","Moderate","Moderate","0","0.20","3","332","0","20","0","2","0","0.00","",
"2018-04-06 12:00:00","Lochaber","BF","166718","750","340","15","Below Douglas Boulder, Ben Nevis","0.50","140.00","30.00","100","6 - Snow Showers","1","290","25.00","0","0","-2.00","160","30","Considerable -","Moderate","1091","0.40","2","326","0","20","0","1","0","0.00","Reactive shear at 22cm ",
"2018-04-05 12:30:00","Lochaber","BF","204731","1060","240","10","Stob an Cul Choire","-1.30","240.00","10.00","50","0 - None","0","85","25.00","0","0","-2.00","270","10","Considerable -","Considerable +","1021","1.30","2","326","0","20","0","1","0","-1.70","Reactive shear at 49cm ",
"2018-04-04 12:45:00","Lochaber","KM","189739","1130","270","20","Aonach Mor: Top of West Face","-5.30","70.00","20.00","100","8 - Snow","1","115","30.00","0","0","-5.50","70","30","Considerable +","Considerable -","8800","0.60","2","318","0","20","5","1","0","-4.40","Reactive failures at 8cm, 23cm and 30cm.",
"2018-04-03 10:00:00","Lochaber","BF","193734","1200","270","20","Top of West face of Aonach Mor.","-5.30","70.00","20.00","100","8 - Snow","1","85","10.00","0","0","-5.00","70","20","Considerable -","Considerable +","4400","1.10","1","310","0","20","0","1","0","-6.00","Reactive shear at 33cm ",
"2018-04-02 09:40:00","Lochaber","BM","192733","1190","290","35","Aonach Mor","-6.20","80.00","20.00","100","0 - None","1","200","15.00","0","0","-6.00","90","20","Moderate","Considerable -","0","1.40","3","310","0","20","10","1","0","-5.70","Stubborn fails at 5cm and 35cm.",
"2018-04-01 11:00:00","Lochaber","GM","192740","1180","100","40","Aonach Mor","-2.00","45.00","5.00","0","0 - None","0","0","10.00","0","0","-3.50","10","0","Moderate","Moderate","0","1.00","2","310","0","20","0","1","0","-1.80","Reactive shear at 7cm",
"2018-03-31 12:00:00","Lochaber","GM","167721","700","10","15","Ben Nevis","-0.70","90.00","10.00","95","2 - Trace","0","50","5.00","0","0","-4.30","80","22","Moderate","Moderate","0","0.20","2","308","0","12","0","1","0","-0.40","Very localised hazard",
"2018-03-30 13:15:00","Lochaber","GM","192740","1190","120","40","Aonach Mor","-3.20","90.00","20.00","100","2 - Trace","1","0","10.00","0","0","-4.00","100","15","Moderate","Moderate","0","1.00","3","306","0","12","0","1","0","-1.70","Localise instabilities present",
"2018-03-29 12:50:00","Lochaber","BM","194730","1210","70","25","Aonach Mor, Summit Gully","-3.50","100.00","15.00","90","0 - None","1","140","2.00","0","0","-5.00","","0","Moderate","Moderate","0","1.60","2","306","0","12","0","1","0","-3.70","",
"2018-03-28 11:00:00","Lochaber","BM","192742","1150","70","45","Aonach Mor, Coire Dubh","-2.60","240.00","2.00","100","6 - Snow Showers","0","230","10.00","0","0","-3.00","240","18","Moderate","Moderate","0","1.10","2","300","0","12","0","1","0","-1.40","Weaknesses at 8cm and 40cm.",
"2018-03-27 11:50:00","Lochaber","BM","166718","900","350","30","Ben Nevis, Douglas Boulder","2.70","100.00","10.00","100","6 - Snow Showers","0","240","10.00","0","1","1.00","180","25","Considerable -","Moderate","0","0.10","2","294","0","12","5","2","0","-0.10","",
"2018-03-26 11:10:00","Lochaber","BM","194730","1160","50","35","Aonach Mor, Summit Gully","0.80","240.00","2.00","50","2 - Trace","0","225","20.00","0","0","-3.00","225","12","Moderate","Considerable -","0","1.60","2","292","0","12","0","1","0","-1.70","",
"2018-03-25 12:45:00","Lochaber","GM","167716","1000","80","25","Ben Nevis","-1.00","270.00","15.00","100","2 - Trace","0","270","25.00","0","0","-3.00","270","15","Considerable -","Considerable -","0","0.30","3","290","0","12","0","1","0","-0.70","",
"2018-03-24 12:50:00","Lochaber","GM","192743","1180","70","40","Aonach Mor","-1.40","225.00","10.00","100","4 - Light Showers","1","0","2.00","0","0","-2.50","250","18","Low","Low","0","0.40","1","286","0","12","0","1","0","0.00","Generally stable snowpack",
"2018-03-23 12:00:00","Lochaber","BM","194742","1110","50","30","Aonach Mor, Coire Dubh","-1.20","50.00","5.00","100","6 - Snow Showers","1","300","15.00","0","0","-2.00","","0","Moderate","Moderate","0","0.20","1","280","0","12","5","1","0","0.00","Very stubborn shears at 15cm and 29cm.",
"2018-03-22 13:49:00","Lochaber","GM","193746","1000","320","20","Aonach Mor","0.30","90.00","15.00","100","0 - None","0","40","2.00","0","0","-0.50","","0","Low","Considerable -","0","0.40","2","280","0","12","0","1","0","0.00","Stable snowpack",
"2018-03-21 11:15:00","Lochaber","GM","185760","560","270","20","Aonach Mor","3.50","180.00","30.00","100","0 - None","0","70","2.00","0","1","0.60","225","35","Low","Low","0","0.00","1","280","0","12","0","10","0","0.00","",
"2018-03-20 13:19:00","Lochaber","BF","192733","1200","300","20","Aonach Mor, Top of West Face","-4.10","220.00","10.00","20","0 - None","0","100","0.00","0","0","-4.10","90","4","Low","Moderate","0","1.90","1","280","0","12","0","1","0","-8.50","Very stubborn shear at 22cm ",
"2018-03-19 12:50:00","Lochaber","GM/BM","193745","1087","330","20","Aonach Mor","-3.60","60.00","5.00","0","0 - None","0","50","1.00","0","0","-5.00","45","17","Low","Low","0","1.50","1","280","0","12","0","1","0","-8.60","Stubborn shear at 13cm.",
"2018-03-18 11:30:00","Lochaber","BF","186743","1030","350","10","NW Ridge Aonach Mor","-6.30","180.00","2.00","100","2 - Trace","1","80","1.00","0","0","-7.00","100","20","Moderate","Moderate","0","2.40","1","278","0","12","0","1","0","-6.10","Stubborn shear at 7cm ",
"2018-03-17 13:00:00","Lochaber","BF/BM","167720","750","360","20","Ben Nevis, below Douglas Boulder","-4.20","120.00","20.00","60","0 - None","1","90","2.00","0","0","-8.00","140","30","Moderate","Moderate","0","3.40","2","278","0","12","0","1","0","-0.80","Stubborn shear at 14cm ",
"2018-03-16 12:00:00","Lochaber","GM","161729","529","","0","Ben Nevis","1.60","135.00","50.00","100","2 - Trace","1","0","0.00","0","0","-3.40","","0","Moderate","Moderate","0","","","276","0","12","0","2","0","0.00","",
"2018-03-15 12:43:00","Lochaber","KM","188747","890","300","30","Aonach Mor: NW slopes","-0.90","160.00","30.00","100","4 - Light Showers","1","85","8.00","0","0","-3.50","","0","Moderate","Moderate","0","0.60","1","272","0","12","0","1","0","-0.30","",
"2018-03-14 12:05:00","Lochaber","KM","190748","880","320","25","Aonach Mor: NW slopes","0.80","150.00","30.00","100","0 - None","1","95","10.00","0","0","-1.80","150","40","Moderate","Moderate","0","1.30","2","272","0","10","0","1","0","-1.30","Failure at 30cm (stubborn).",
"2018-03-13 12:15:00","Lochaber","KM","193746","1080","330","25","Aonach Mor: Aonach an Nid","-2.10","200.00","5.00","70","2 - Trace","0","100","5.00","0","0","-3.20","","0","Low","Moderate","0","0.50","4","270","0","10","0","1","0","-2.60","",
"2018-03-12 12:30:00","Lochaber","GM","192730","1200","330","15","Aonach Mor","-0.20","0.00","0.00","0","0 - None","0","180","2.00","0","0","-1.00","1","1","Low","Low","0","2.80","0","270","0","10","0","1","0","-4.80","Stable snowpack",
"2018-03-11 12:30:00","Lochaber","BF","203731","1060","340","15","Stob an Cul Choire","2.20","210.00","1.00","10","0 - None","0","150","5.00","0","0","2.00","160","15","Moderate","Moderate","0","0.70","3","270","0","10","0","1","0","-0.60","Reactive shear at 2cm.
Stubborn shear at 13cm.",
"2018-03-10 10:40:00","Lochaber","BF","185744","970","320","20","Aonach Mor,","-1.20","160.00","20.00","100","4 - Light Showers","1","70","2.00","0","0","-3.00","140","30","Considerable +","Moderate","4400","0.90","2","266","0","10","0","1","0","-2.50","Stubborn Shear at 29cm ",
"2018-03-09 11:00:00","Lochaber","GM","167719","765","10","25","Ben Nevis","-0.70","270.00","15.00","100","2 - Trace","1","40","10.00","0","0","-2.80","","0","Considerable -","Considerable -","0","0.60","2","264","0","10","0","1","0","-1.30","Reactive shear at 18cm",
"2018-03-08 12:45:00","Lochaber","KM","191743","1130","330","25","Aonach Mor plateau: North","-3.60","170.00","20.00","90","4 - Light Showers","1","115","15.00","0","0","-4.00","160","30","Considerable -","Considerable +","4400","0.70","3","260","0","10","0","1","0","-4.10","Failures at 22cm (Reactive) and 34cm.",
"2018-03-07 12:30:00","Lochaber","GM","191740","1175","295","10","Aonach Mor","-3.30","180.00","20.00","100","0 - None","0","70","15.00","0","0","-3.80","","0","Moderate","Considerable -","0","1.30","3","260","0","10","0","1","0","-4.30","Reactive shear at 20cm",
"2018-03-06 16:15:00","Lochaber","GM","167721","700","350","20","Ben Nevis","-1.60","135.00","25.00","100","6 - Snow Showers","1","70","25.00","0","0","-4.20","","0","Moderate","Moderate","0","0.80","2","254","0","10","0","1","0","-2.10","",
"2018-03-05 12:40:00","Lochaber","GM","185742","1015","252","22","Aonach Mor","-2.20","165.00","20.00","100","4 - Light Showers","1","50","15.00","0","0","-4.50","135","25","Moderate","Moderate","0","0.90","2","250","0","10","0","1","0","-2.90","Localised fresh accumulations. Reactive shear at 10cm. Stubborn shear at 15cm",
"2018-03-04 11:20:00","Lochaber","BF","167720","750","330","20","Below Douglas Boulder, Ben Nevis","-2.20","150.00","20.00","100","2 - Trace","1","80","10.00","0","0","-6.00","110","30","Low","Low","0","0.60","1","248","0","10","0","1","0","-3.00","Stubborn shear at 15cm ",
"2018-03-03 12:15:00","Lochaber","BF","184746","870","340","15","Aonach Mor,","-4.70","60.00","15.00","100","4 - Light Showers","1","40","15.00","0","0","-6.00","110","30","Moderate","Moderate","0","1.40","2","244","0","10","10","1","0","-4.90","Reactive shears at 23cm and 30cm ",
"2018-03-02 11:03:00","Lochaber","BF","186712","620","330","40","Coire Giubhsachan","-3.40","120.00","30.00","100","2 - Trace","1","145","0.00","0","0","-8.00","90","35","Moderate","Moderate","0","1.10","1","242","0","10","0","1","0","-4.20","Refrozen stable snowpack.
Fresh snow blowing around but not settling anywhere on the ground. ",
"2018-03-01 12:00:00","Lochaber","GM","162742","580","320","15","Carn Dearg Beag","-4.20","90.00","30.00","100","2 - Trace","1","30","0.00","0","0","-9.40","100","40","Low","Low","0","1.30","2","240","0","10","0","1","0","-4.30","Frozen and stable snowpack",
"2018-02-28 11:43:00","Lochaber","GM","188724","670","280","15","Ben Nevis","-2.10","90.00","20.00","20","0 - None","0","40","0.00","0","0","-12.00","90","20","Low","Low","0","0.60","2","240","0","8","0","1","0","-3.10","Stable snowpack",
"2018-02-27 15:51:00","Lochaber","GM","188749","850","330","10","Aonach Mor","-3.20","90.00","20.00","100","0 - None","0","30","1.00","0","0","-7.50","120","20","Low","Low","0","1.10","2","240","0","8","0","1","0","-2.80","Stable snowpack",
"2018-02-26 12:00:00","Lochaber","GM","164742","640","300","20","Can Dearg Beag","-2.30","135.00","35.00","100","0 - None","0","45","0.00","0","0","-6.60","135","35","Low","Low","0","0.80","1","240","0","8","0","1","0","-3.60","Stable snowpack",
"2018-02-25 12:25:00","Lochaber","KM/BF","193722","1140","170","12","Aonach Mor: South slopes","-3.80","160.00","5.00","5","0 - None","0","78","1.00","0","0","-4.00","","0","Low","Low","0","1.30","2","240","0","8","10","1","0","-4.30","",
"2018-02-24 12:45:00","Lochaber","GM","196750","870","30","10","Aonach Mor","-2.10","135.00","30.00","10","0 - None","0","155","0.00","0","0","-4.00","","0","Low","Low","0","1.40","3","240","0","8","0","1","0","-4.60","Generally stable snowpack with some every isolated instabilities as demonstrated with this snow profile
Reactive shear at 8cm",
"2018-02-23 12:15:00","Lochaber","KM","195750","960","90","40","Aonach Mor: Aonach an Nid","-1.50","180.00","15.00","10","0 - None","1","105","10.00","0","0","-5.40","","0","Moderate","Moderate","0","1.70","3","240","0","8","0","2","0","-2.60","Failure at 8cm (Reactive). Localised deposits.",
"2018-02-22 12:00:00","Lochaber","GM","197752","840","60","20","Aonach Mor","-0.90","180.00","20.00","100","0 - None","0","40","0.00","0","0","-3.20","190","20","Low","Low","0","0.30","1","240","0","8","0","1","0","0.00","Stable snowpack",
"2018-02-21 12:30:00","Lochaber","GM","193730","1208","75","10","Aonach Mor","-4.00","270.00","10.00","40","0 - None","0","20","2.00","0","0","-2.60","270","10","Low","Low","0","2.30","4","240","0","8","0","2","0","0.00","Stable snowpack",
"2018-02-20 13:00:00","Lochaber","GM","192740","1190","110","40","Aonach Mor","-1.00","240.00","5.00","100","0 - None","0","0","10.00","0","0","-1.50","270","10","Low","Low","0","0.70","3","240","0","8","0","1","0","0.00","Generally stable snowpack",
"2018-02-19 12:35:00","Lochaber","KM","194747","1080","30","25","Aonach Mor: Aonach an Nid","2.70","240.00","10.00","100","","0","205","10.00","0","1","2.10","","0","Considerable -","Moderate","8800","0.40","2","240","0","8","0","2","0","0.00","Failure (Stubborn) at 21cm.",
"2018-02-18 11:30:00","Lochaber","BF","201731","1050","350","10","Stob a Cul Choire","-1.40","120.00","5.00","100","2 - Trace","0","115","10.00","0","0","-2.00","240","20","Considerable +","Considerable +","0","0.30","1","238","0","8","0","1","0","-1.40","Reactive shears at 9cm and 15cm ",
"2018-02-17 13:30:00","Lochaber","GM","195751","892","50","30","Aonach Mor","-1.50","225.00","10.00","20","4 - Light Showers","1","300","25.00","0","0","-3.00","200","25","Considerable -","Considerable +","0","0.90","2","234","0","8","5","1","0","-1.60","Touchy shear at 17cm. Reactive shear at 20cm. Stubborn shear at 80cm",
"2018-02-16 14:38:00","Lochaber","GM","192740","1180","70","40","Aonach Mor","-3.20","200.00","30.00","100","4 - Light Showers","1","240","30.00","0","0","-3.20","200","25","Considerable +","Considerable +","88","1.30","2","230","0","8","0","1","0","-4.00","Stubborn shear at 40cm",
"2018-02-15 12:00:00","Lochaber","GM","153744","350","300","10","Ben Nevis","0.30","225.00","40.00","100","10 - Heavy Snow","1","50","25.00","0","0","-3.50","210","40","High","High","9910","0.00","1","220","0","8","0","2","0","0.00","",
"2018-02-14 12:04:00","Lochaber","GM","154747","340","315","10","Ben Nevis","3.40","135.00","50.00","100","8 - Snow","1","45","30.00","0","0","-3.20","135","50","Considerable +","High","1011","0.00","0","212","0","6","0","2","0","0.00","",
"2018-02-13 16:32:00","Lochaber","GM","192740","1180","70","40","Aonach Mor","-6.60","270.00","30.00","20","0 - None","1","0","30.00","0","0","-6.00","","0","Considerable +","Considerable +","0","1.00","2","212","0","6","0","1","0","-4.60","Reactive shear at 2cm",
"2018-02-12 15:11:00","Lochaber","KM","186742","1050","30","18","Aonach Mor: North slopes","-4.90","230.00","20.00","100","6 - Snow Showers","1","71","40.00","0","0","-7.00","250","35","Considerable +","Considerable +","8800","1.70","3","206","0","6","0","1","0","-5.60","Failures at 11cm (Reactive), 26cm (Touchy) and 49cm (Reactive).",
"2018-02-11 12:45:00","Lochaber","BF","194746","1080","30","10","By top of Winger Wall, Aonach Mor","-5.60","290.00","20.00","100","8 - Snow","1","110","25.00","0","0","-6.00","260","20","Considerable +","Considerable +","8800","1.50","2","198","0","6","0","1","0","-5.30","Reactive Shear at 20cm
Lots of avalanche activity and cornice collapse noted. ",
"2018-02-10 12:15:00","Lochaber","BF","194742","1080","45","20","Climber's Col, Aonach Mor","-1.10","270.00","5.00","100","8 - Snow","1","215","25.00","0","0","-2.00","240","20","Considerable -","Considerable -","4400","0.40","3","190","0","6","0","1","0","-1.40","Reactive shear at 28cm ",
"2018-02-09 12:35:00","Lochaber","KM","195750","950","40","30","Aonach Mor: Aonach an Nid","-5.00","240.00","20.00","60","6 - Snow Showers","1","239","30.00","0","0","-7.00","250","25","Considerable -","Considerable +","4400","1.00","1","184","0","6","0","1","0","-6.10","Failures at 11cm (Reactive) and 28cm (Reactive).
Facets observed elsewhere in shallower snowpacks.",
