Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-04-14 11:55:00","Northern Cairngorms","KG","012042","1095","120","30","E side Cairngorm","3.70","220.00","20.00","30","0 - None","0","90","15.00","0","0","3.80","188","15","Low","Low","0","0.00","3","264","0","20","0","2","0","0.00","",
"2018-04-13 12:00:00","Northern Cairngorms","KG","998042","1050","60","25","Cas Ridge","2.70","160.00","20.00","100","0 - None","0","280","3.00","0","0","1.60","125","29","Low","Low","0","0.00","2","264","0","20","0","2","0","0.00","",
"2018-04-12 13:00:00","Northern Cairngorms","MD","939033","1080","360","28","Braeriach, Lochan Coire.","3.10","110.00","25.00","0","0 - None","0","300","5.00","0","0","1.90","110","35","Low","Low","0","0.00","2","264","0","20","0","1","0","0.00","Isothermal",
"2018-04-11 11:15:00","Northern Cairngorms","MD","996090","1050","280","32","Fiachail Chais W flank","2.80","100.00","15.00","100","0 - None","0","140","30.00","0","0","2.90","130","40","Low","Low","2024","0.00","1","264","0","20","0","1","0","0.00","Isothermal - soft in the surface layers",
"2018-04-10 11:30:00","Northern Cairngorms","MD","014052","1070","80","38","Strath Nethy","0.00","80.00","30.00","100","0 - None","0","200","20.00","0","0","-1.10","90","25","Low","Low","0","0.00","1","264","0","20","0","1","0","0.00","",
"2018-04-09 11:45:00","Northern Cairngorms","MD","008031","1056","30","34","Stac an Fharaidh","0.00","0.00","0.00","10","0 - None","0","200","20.00","0","0","2.30","263","17","Low","Low","0","0.20","2","264","0","20","0","1","0","0.00","isothermal and consolidated",
"2018-04-08 12:10:00","Northern Cairngorms","KG","998034","1095","260","38","Windy Col","0.40","210.00","10.00","50","0 - None","0","175","20.00","0","0","1.60","223","9","Moderate","Moderate","0","0.10","2","264","0","20","5","2","0","0.00","Surface instabilities and recent cornice collapse out of several gullies and steep slopes in Sneachda.",
"2018-04-07 13:35:00","Northern Cairngorms","KG","002042","1100","290","33","Coronation Wall","2.20","200.00","20.00","60","0 - None","0","70","25.00","0","0","2.50","186","52","Considerable -","Moderate","0","0.10","3","264","0","20","5","2","0","0.00","Extensive debris from surface instabilities on W to N aspects",
"2018-04-06 11:30:00","Northern Cairngorms","KG","994072","600","350","25","An t-Aonach","2.30","150.00","40.00","100","0 - None","0","140","15.00","0","0","-2.00","191","34","Considerable -","Considerable -","4400","0.10","4","264","0","20","5","1","0","0.00","",
"2018-04-05 11:00:00","Northern Cairngorms","MD,TW,KG","011042","1095","120","30","Cairngorm SE","-2.30","280.00","15.00","100","2 - Trace","1","350","70.00","0","0","-5.00","285","25","Considerable -","Considerable -","4400","2.20","3","262","0","20","10","2","0","-3.30","New windslab overlying soft layer - extensive.",
"2018-04-04 12:00:00","Northern Cairngorms","MD,KG","996841","1030","250","30","Fiachail Coire Chais W flank","-4.00","20.00","15.00","100","8 - Snow","1","150","70.00","0","0","-5.90","61","25","Considerable +","Considerable -","8800","1.10","3","254","0","20","10","1","0","-1.80","weak layers persist at depth",
"2018-04-03 11:40:00","Northern Cairngorms","MD","996040","1040","268","35","West flank fiachail coire Chais","-3.30","80.00","20.00","100","6 - Snow Showers","1","110","50.00","0","0","-5.30","90","25","Considerable -","Considerable +","4400","1.20","2","248","0","20","10","1","0","-3.30","new windslab overlying weak layer above old snowpack in places.",
"2018-04-02 11:20:00","Northern Cairngorms","MD","001041","1099","310","35","Head wall  Cairngorm W","-4.70","175.00","20.00","100","4 - Light Showers","1","250","30.00","0","0","-6.00","110","15","Moderate","Considerable +","0","0.80","2","244","0","20","5","2","0","-4.20","",
"2018-04-01 11:45:00","Northern Cairngorms","KG","998033","1080","250","35","Windy Col","-4.20","350.00","2.00","10","0 - None","1","210","20.00","0","0","-6.60","99","15","Considerable -","Considerable -","0","2.60","2","244","0","20","5","1","0","-6.40","widespread graupel beneath surface layers.",
"2018-03-31 11:40:00","Northern Cairngorms","KG","994042","970","240","30","W side Chais ridge","-3.50","80.00","20.00","100","4 - Light Showers","1","50","25.00","0","0","-6.40","86","34","Considerable -","Considerable -","1012","1.00","3","240","0","12","5","1","0","-3.50","",
